actor_id:string:START_ID,:START_LABEL,movie_id:string:END_ID,:END_LABEL,:TYPE,year:string
"万国鹏","actor","25746375","movie","ACT","2015.0"
"王婷","actor","25746375","movie","ACT","2015.0"
"沈凯","actor","25746375","movie","ACT","2015.0"
"徐小琴","actor","25746375","movie","ACT","2015.0"
"林晨","actor","25746375","movie","ACT","2015.0"
"魏星","actor","25746375","movie","ACT","2015.0"
"蒿怡帆","actor","25746375","movie","ACT","2015.0"
"蒿怡菲","actor","25746375","movie","ACT","2015.0"
"覃培军","actor","25746375","movie","ACT","2015.0"
"王昭","actor","25746375","movie","ACT","2015.0"
"张文斌","actor","25746375","movie","ACT","2015.0"
"林俭","actor","25746375","movie","ACT","2015.0"
"耿立树","actor","25746375","movie","ACT","2015.0"
"张喜来","actor","25746375","movie","ACT","2015.0"
"周鹏","actor","25746375","movie","ACT","2015.0"
"寇骏","actor","25746375","movie","ACT","2015.0"
"姜涛","actor","25746375","movie","ACT","2015.0"
"袁咏仪","actor","25746375","movie","ACT","2015.0"
"方中信","actor","25746375","movie","ACT","2015.0"
"刘伟强","actor","25746375","movie","ACT","2015.0"
"冯德伦","actor","25746375","movie","ACT","2015.0"
"吴彦祖","actor","25746375","movie","ACT","2015.0"
"尔冬升","actor","25746375","movie","ACT","2015.0"
"麦兆辉","actor","25746375","movie","ACT","2015.0"
"庄文强","actor","25746375","movie","ACT","2015.0"
"方平","actor","25746375","movie","ACT","2015.0"
"张静初","actor","25746375","movie","ACT","2015.0"
"许鞍华","actor","25746375","movie","ACT","2015.0"
"林更新","actor","25746375","movie","ACT","2015.0"
"蒋梦婕","actor","25746375","movie","ACT","2015.0"
"陆剑明","actor","25746375","movie","ACT","2015.0"
"杰克·吉伦哈尔","actor","5446197","movie","ACT","2015.0"
"福里斯特·惠特克","actor","5446197","movie","ACT","2015.0"
"瑞秋·麦克亚当斯","actor","5446197","movie","ACT","2015.0"
"娜奥米·哈里斯","actor","5446197","movie","ACT","2015.0"
"50分","actor","5446197","movie","ACT","2015.0"
"乌娜·劳伦斯","actor","5446197","movie","ACT","2015.0"
