director_id:string:START_ID,movie_id:string:END_ID,:TYPE,year:string
"d尔冬升","25746375","DIRECT","2015.0"
"d安东尼·福奎阿","5446197","DIRECT","2015.0"
"d布雷特·海利","25885212","DIRECT","2015.0"
"d加布里埃尔·萨瓦特瑞斯","25728581","DIRECT","2014.0"
"d克雷格·卓贝","5156558","DIRECT","2015.0"
"d塔西姆·辛","24325815","DIRECT","2015.0"
"d三木孝浩","25922902","DIRECT","2015.0"
"d弗兰克·威利","25738406","DIRECT","2014.0"
"d马提欧·加洛尼","25767747","DIRECT","2015.0"
"d闵奎东","25823840","DIRECT","2015.0"
"d彼特·道格特 ","10533913","DIRECT","2015.0"
"d 罗纳尔多·德尔·卡门","10533913","DIRECT","2015.0"
"d森淳一","25814707","DIRECT","2015.0"
"d阿加多·蒙特沃德","10773239","DIRECT","2015.0"
"d关信辉","25870236","DIRECT","2015.0"
"d岩井俊二","26147706","DIRECT","2015.0"
"d武正晴","25761178","DIRECT","2014.0"
"d肖洋","26219652","DIRECT","2015.0"
"d布拉德·佩顿","25786077","DIRECT","2015.0"
"d松冈锭司","25958787","DIRECT","2015.0"
"dF·加里·格雷","3608742","DIRECT","2015.0"
"d格里高利·雅各布","11541282","DIRECT","2015.0"
"d林岭东","25837175","DIRECT","2015.0"
"d莫滕·泰杜姆","10463953","DIRECT","2015.0"
"d马克·伯顿 ","24397586","DIRECT","2015.0"
"d 理查德·斯塔扎克","24397586","DIRECT","2015.0"
"d樋口真嗣","6866928","DIRECT","2015.0"
"d保罗·费格","25752261","DIRECT","2015.0"
"d达米安·沙泽勒","25773932","DIRECT","2014.0"
"d郑保瑞","23788440","DIRECT","2015.0"
"d陈凯歌","24879839","DIRECT","2015.0"
"dBaran bo Odar","25932086","DIRECT","2014.0"
"d艾里克·拉缇戈","25855951","DIRECT","2014.0"
"d乔治·米勒","3592854","DIRECT","2015.0"
"d李·杜兰·克里格","6039412","DIRECT","2015.0"
"d金泰均","25907004","DIRECT","2014.0"
"d卢镇秀","26366634","DIRECT","2015.0"
"d亚历克斯·加兰","4160540","DIRECT","2015.0"
"d何炅","26021055","DIRECT","2015.0"
"d乔斯·韦登","10741834","DIRECT","2015.0"
"d郑凡植","25809260","DIRECT","2015.0"
"d李霄峰","24753687","DIRECT","2015.0"
"d拉吉库马尔·希拉尼","10741643","DIRECT","2015.0"
"d苏有朋","25745752","DIRECT","2015.0"
"d王童","25830802","DIRECT","2015.0"
"d郭敬明","24847343","DIRECT","2015.0"
"d大卫·芬奇","21318488","DIRECT","2014.0"
"d吉勒·巴盖特-布赫内","10755171","DIRECT","2015.0"
"d妮琪·卡罗","11520649","DIRECT","2015.0"
"d谢雷·福克森","26268587","DIRECT","2015.0"
"d张艾嘉","25718082","DIRECT","2015.0"
"d温子仁","23761370","DIRECT","2015.0"
"d马修·沃恩","24405378","DIRECT","2015.0"
"d塞思·麦克法兰","19957083","DIRECT","2015.0"
"d托马斯·温特伯格","24716045","DIRECT","2015.0"
"d宋迪","25945356","DIRECT","2015.0"
"d尹齐均","21937450","DIRECT","2014.0"
"d陈正道","25870084","DIRECT","2015.0"
"d罗伯特·斯文克","25794212","DIRECT","2015.0"
"d小乔治·提尔曼","21442760","DIRECT","2015.0"
"d卡梅伦·克罗","3104205","DIRECT","2015.0"
"d李光耀","25742299","DIRECT","2015.0"
"d克林特·伊斯特伍德","21263666","DIRECT","2014.0"
"d山下敦弘","25900851","DIRECT","2015.0"
"d山崎贵","25774050","DIRECT","2014.0"
"dZoltán Mayer","26314206","DIRECT","2015.0"
"d蒂姆·约翰逊","10827341","DIRECT","2015.0"
"dFouad Mikati","24859095","DIRECT","2015.0"
"d尼尔·布洛姆坎普","6846893","DIRECT","2015.0"
"d成岛出","25799475","DIRECT","2015.0"
"d克里斯托弗·诺兰","1889243","DIRECT","2014.0"
"d李仁港","25823833","DIRECT","2015.0"
"d刘浩良","25811357","DIRECT","2015.0"
"d彼得·杰克逊","2973079","DIRECT","2015.0"
"d西蒙·柯蒂斯","10792633","DIRECT","2015.0"
"d威廉姆·H·梅西","10754780","DIRECT","2014.0"
"d科林·特雷沃罗","10440138","DIRECT","2015.0"
"d保罗·金","2998373","DIRECT","2015.0"
"d唐·霍尔 ","11026735","DIRECT","2015.0"
"d 克里斯·威廉姆斯","11026735","DIRECT","2015.0"
"d梁乐民 ","24987018","DIRECT","2015.0"
"d 陆剑青","24987018","DIRECT","2015.0"
"d徐静蕾","25858759","DIRECT","2015.0"
"d安诺斯·托马斯·延森","25800938","DIRECT","2015.0"
"d肖恩·利维","21349734","DIRECT","2015.0"
"d丹尼尔·伊斯皮诺萨","2363942","DIRECT","2015.0"
"d李玉","25872931","DIRECT","2015.0"
"d安藤桃子","21767183","DIRECT","2014.0"
"d区焯文","26279166","DIRECT","2015.0"
"d吴京","24753810","DIRECT","2015.0"
"d克利斯汀·迪特","5153254","DIRECT","2014.0"
"d庾河","24307637","DIRECT","2015.0"
"d谢尔盖·波德罗夫","2325873","DIRECT","2015.0"
"d鲍兹·亚金","25898213","DIRECT","2015.0"
"d姜文","6126442","DIRECT","2014.0"
"d贾德·阿帕图","25821585","DIRECT","2015.0"
"d川村泰祐","25861695","DIRECT","2014.0"
"d邱礼涛","25834945","DIRECT","2014.0"
"d肯尼思·布拉纳","6875263","DIRECT","2015.0"
"d蒂姆·肯德尔","25908042","DIRECT","2015.0"
"d让-马克·瓦雷","21345845","DIRECT","2014.0"
"d成岛出","25945408","DIRECT","2015.0"
"d张皓","25881780","DIRECT","2015.0"
"d杨文军 ","26259634","DIRECT","2015.0"
